nt :  24449.13054101507 
 contie | 16.536247215688128
 éléga | 21.60153867593985
 respira | 21.777833202257888
 souvi | 34.379882824661316
 connaisse | 22.573336534423348
 étala | 34.5179315512772
 penda | 44.694334243446505
 géa | 35.42457846859139
 retena | 25.651724433108065
 différe | 63.49783336006021
 pourro | 22.825753832883116
 leva | 38.70849367566426
 fabrique | 26.46224663424435
 trouve | 84.66007664539583
 faisa | 68.63426423075937
 dansa | 33.7285400301589
 sembla | 61.61694010891047
 sorta | 38.30747874325228
 rejoi | 45.80941245325282
 revêta | 23.267189022226567
 amusa | 25.710618122161634
 souvena | 26.681471776502114
 lisa | 26.681471776502114
 efforça | 26.06676193238691
 laisse | 62.68569625236218
 croya | 52.570226805652936
 gémissa | 25.651724433108065
 réjouissa | 25.651724433108065
 fire | 18.60609120430224
 resta | 46.15547564980723
 puissa | 53.01103411978862
 enveloppa | 25.651724433108065
 assourdissa | 22.245394865714573
 noua | 25.651724433108065
 poi | 181.2427744363643
 attire | 26.25810591746413
 souffle | 25.6142497276894
 fixa | 25.710618122161634
 fonce | 25.784174729131713
 força | 23.267189022226567
 arrive | 80.48880646896428
 éprouva | 26.99157443599269
 entoura | 23.68222652150541
 indiqua | 39.23769041309542
 menaça | 26.06676193238691
 remplaça | 21.792586968947916
 compta | 49.983043792754344
 bégaya | 25.651724433108065
 revi | 39.080030915146345
 souria | 49.753591987444935
 contempla | 49.631903702207765
 croisa | 25.821649434550377
 essaya | 38.471945346003025
 continua | 38.70849367566426
 prude | 41.430839690148176
 envoya | 25.710618122161634
 intéressa | 36.83287668997363
 lança | 38.7814099315847
 voula | 53.87595312118488
 prena | 39.7110206036933
 écouta | 38.06236624541575
 deva | 69.8817460126115
 craigna | 38.137553741809974
 metta | 38.10333802647206
 bâtime | 21.962511970390224
 arrête | 39.19893469468129
 jeta | 26.06676193238691
 conduisa | 25.821649434550377
 obligea | 37.89244124397344
 attei | 35.129638338479865
 agita | 36.900337686571795
 sero | 22.995678834325425
 fonda | 34.278416277649825
 suive | 23.596056610923434
 receva | 23.54623130426075
 scruta | 23.682226521505413
 traversa | 38.74043815052839
 vola | 58.688032143778635
 renda | 38.81562564692261
 ria | 26.06676193238691
 précipita | 34.524399313378666
 souvie | 29.66285609833477
 plongea | 23.326082711280137
 regarda | 53.978054014646446
 visa | 36.4138772877224
 sauta | 26.06676193238691
 prévi | 27.119012584939206
 flotta | 38.06236624541575
 devie | 32.15653493432445
 brilla | 69.92971888621369
 entra | 59.95856071612385
 néglige | 25.330663082038235
 reste | 78.52931172014083
 entenda | 38.89244124397344
 entraîneme | 23.503080351752928
 appartie | 16.536247215688128
 tourna | 39.422662342061074
 frotta | 25.651724433108065
 coucha | 22.44713974185414
 applaudissa | 37.89244124397344
 save | 23.646729793172035
 étouffa | 34.08736798464175
 bouscula | 23.267189022226567
 souhaite | 25.6142497276894
 haleta | 22.245394865714573
 raisonne | 25.6142497276894
 impatie | 22.44773167746236
 méconte | 22.20762446822676
 cacha | 25.68147177650212
 mette | 23.251408439535986
 buva | 37.89244124397344
 parvie | 26.623710056938467
 débatta | 37.89244124397344
 chercha | 38.34592359627955
 coura | 56.794112601829276
 consacre | 25.6142497276894
 fure | 23.831572779347454
 sentime | 22.20762446822676
 perça | 33.25662212113783
 fonça | 26.06676193238691
 disa | 51.74535286942261
 désire | 36.99118904930924
 raconta | 26.06676193238691
 joi | 30.4543650667199
 triompha | 21.792586968947916
 rayonna | 25.710618122161634
 passionna | 21.771463677382158
 demanda | 52.54628152232078
 sangla | 21.771463677382158
 rugisseme | 21.962511970390224
 tenda | 33.90381364277022
 alla | 55.09986163313274
 étonna | 23.13243697183254
 revena | 38.89244124397344
 tie | 34.69260773366936
 claqueme | 21.962511970390224
 maintena | 44.071784759371056
 devi | 70.5799739247365
 passe | 86.70964218133545
 enfa | 33.784709517634056
 protégea | 25.651724433108065
 règleme | 22.640583875502866
 événeme | 22.640583875502863
 serpe | 42.175717892868946
 accompagne | 25.6142497276894
 descenda | 38.137553741809974
 effraya | 22.016576175218695
 finiro | 22.995678834325425
 remonta | 23.437114023668876
 autorisa | 21.777833202257888
 partagea | 25.821649434550377
 ouvra | 48.29545642459961
 explique | 34.85456405702311
 glissa | 38.55961850798278
 conséque | 29.542105645897497
 vie | 67.4216503547307
 hocha | 25.651724433108065
 tonitrua | 21.60153867593985
 commence | 67.83010291854694
 suiva | 62.65138666373664
 éclata | 21.771463677382158
 fuya | 25.651724433108065
 crai | 49.67048908772061
 trembla | 72.22245662385996
 enfrei | 16.103287808412023
 essaye | 58.42479801842227
 compartime | 22.90592844202386
 indiffére | 21.587909335510624
 posa | 26.06676193238691
 travailla | 23.267189022226567
 intellige | 32.203947581145584
 clie | 21.822334312341965
 parvena | 39.51584859772186
 plia | 29.33593357701938
 enfonça | 25.821649434550377
 fro | 96.35908990640624
 pense | 69.28257112164768
 vena | 57.35003745358364
 tena | 39.6640995563058
 décide | 25.784174729131713
 voya | 86.70719763748727
 mangea | 25.94450618233591
 arge | 36.641856894926846
 serve | 22.40341153298104
 panseme | 21.792586968947916
 étincela | 61.50341293769101
 répanda | 38.89244124397344
 poussa | 38.13755374180997
 frissonna | 25.651724433108065
 laissa | 25.692366417605406
 suffisa | 33.448889700412025
 tei | 32.85188420302482
 senta | 39.55259124108882
 contena | 38.496718908121295
 roula | 23.267189022226567
 traîna | 36.30900566097491
 garda | 38.518375525750905
 emmena | 37.89244124397344
 pensa | 50.96049954422063
 vire | 27.08818091602182
 touche | 27.324743110494417
